ID,Development,Address,Years Built,Total Units,Contract expiration,Compliance End Year (LIHTC properties Only),New Georeferenced Column,Year Built Date (For Performance Measure),Total Units_1,Ownership Entity,Ownership Entity Contact Name,Ownership Entity Contact Email,Ownership Entity Contact Phone,Property Management Entity,Property Management Contact Name,Property Management Contact Email,Property Management Contact Phone,Type of Subsidy
1,Arbors Apartments,"5127 Creely Ave Richmond, CA 94804",1965,36,08/31/2026 12:00:00 AM,2063,POINT (-122.32129 37.91868),01/01/1965 12:00:00 AM,36,Resources for Community Development,"Charlotte Parnell, Dan Hardy","cparnell@rcdhousing.org, dhardy@rcdhousing.org",,John Stewart Company,"Uella Laughlin, Jennifer Wood","ulaughlin@jsco.net, jwood@jsco.net",(415) 345-4400,Section 42 (LIHTC)
5,The Carquinez,"400 Harbour Way, Richmond, CA 94801",1980,36,,2064,POINT (-122.36004 37.93704),01/01/1980 12:00:00 AM,36,,,,,,,,,Section 42 (LIHTC)
16,Nevin Plaza,"2400 Nevin Avenue, Richmond, CA 94804",1973,142,,,POINT (-122.34564 37.93661),01/01/1973 12:00:00 AM,142,John Stewart Company,"Jack Gardner (President), Steve McElroy (Vice President), Falisha Walls (Regional Mgr)","jgardner@jsco.net, smcelroy@jsco.net, fwalls@jsco.net","(415) 345-4400, Direct line: 415-345-4445 / cell - 916 709 0210",Pullman Point,Zelda Angele,pullman@jsco.net,Cell: (510) 693-9089; Main Office: (510) 235-5689 Security: (510) 768-8173; Site Main: (510) 260-9771,Public Housing Units Owned by RHA
12,Liberty Village Apartments,298 W. Chanslor Ave. Richmond CA,1942,100,,2068,POINT (-122.37418 37.9331),01/01/1942 12:00:00 AM,100,Eden Housing,"Guadalupe Godinez, Andy Madeira, Darnell Williams, Woody Karp","ggodinez@edenhousing.org, AMadeira@edenhousing.org, dwilliams@edenhousing.org, WKarp@edenhousing.org",925-297-4297,Eden Housing,Guadalupe Godinez (Senior Community Manager),ggodinez@edenhousing.org,925-297-4297,Section 42 (LIHTC)
24,Terraces at Nevin for Families,"2200 Nevin Ave, Richmond, CA, 94804",2022,140,,,POINT (-122.34808 37.93684),01/01/2022 12:00:00 AM,140,,,,,,,,,
2,Barrett Plaza Townhouses,"740 Barrett Ave., Richmond Ca 94801",1975,57,12/31/2031 12:00:00 AM,,POINT (-122.36242 37.93836),01/01/1975 12:00:00 AM,57,CHDC,"Don Gilmore (CEO), Grayling Harris (Director of Asset Management)","dgilmore@chdcnr.com, gharris@chdcnr.com",(510) 412-9290 Ext. 210,,,,,Project Based Section 8
23,Terraces at Nevin for Seniors,"2100 Nevin Ave, Richmond, CA, 94804",2022,127,,,POINT (-122.34873 37.93684),01/01/2022 12:00:00 AM,127,,,,,,,,,Project Based Section 8
13,Lillie Mae Jones Plaza,"120 Macdonald Ave, Richmond CA 94801",2011,26,,,POINT (-122.36829 37.93571),01/01/2011 12:00:00 AM,26,Monterey Venture LP,"Sydne Garchik, Renee Lee, Cathy Coler, Bryan Russell","sgarchik@mrkpartners.com, rlee@mrkpartners.com, ccoler@mrkpartners.com, brussell@mrkpartners.com","(301) 461-1769 (cell), (424) 999-4586 (office) (802) 734-3892 (cell)",Apartment Management Consultants,Shanell (spelling?),mpimgr@amcllc.net,(510) 215-1926,Tenants with a HCV (tenant based Section 8)
3,Barret Terraces Apartments,"700 Barret Ave, Ave Richmond Ca 94801",1975,115,12/31/2031 12:00:00 AM,,POINT (-122.36267 37.93836),01/01/1975 12:00:00 AM,115,CHDC,"Don Gilmore (CEO), Grayling Harris (Director of Asset Management)","dgilmore@chdcnr.com, gharris@chdcnr.com",(510) 412-9290 Ext. 210,,,,,Project Based Section 8
21,Rubicon Homes,"2501 Bissell Ave, Richmond CA 94804",1950,10,,,POINT (-122.34543 37.93397),01/01/1950 12:00:00 AM,10,St. Johns LLC,,,,,Yanira Mendez,stjohnsmgr@apertopm.com,(510) 237-6426,Section 236 Units
